用户昵称,评价内容,评价时间,评论点赞数,评论属性
嬉游汉服会,"我有个问题，实际遇到的，就是全部开发完后，前端经常遇到各种bug，要么服务不响应，要么直接交互崩了。因为你一个个点过去很浪费时间，ai又有时候给你顺手改出个新惊喜。
我想有没有什么办法，能够快速让ai发现和解决掉明显的前端或者e2e连通问题？
遇到这种情况，你们一般怎么搞定的？",2026-05-12 23:37:35,0,负面
夏天的西风,我想做个控制windows的agent，但是问遍了ai都没有靠谱的方案啊[泪奔],2026-05-12 14:41:00,3,正面
剑啸_Phoenix,这两天我也在用，用的不多，所以有些功能还没用出来。主播加油！,2026-05-12 18:23:45,0,中性
黄博士,这个桌面端太好用了，你一定要坚持更新。我天天都在用[赞][赞][赞][赞],2026-05-12 10:46:43,9,正面
东木不归梦🌅,cc-huhu ，里面的skill好像不行。我装了superpower 的skill ，然后打/superpower 都用不了,2026-05-12 16:45:52,1,正面
行舟,干嘛的项目,2026-05-12 10:43:54,0,中性
用户521076666,能再来一个视频讲一下怎么做吗,2026-05-12 09:13:15,0,中性
KJKKK,牛掰啊,2026-05-12 16:54:27,0,正面
阿森,很受用,2026-05-12 13:08:31,0,中性
明,现在没有技能和没有插件，如果以后能好好使用，应该很有价值[点赞],2026-05-12 13:08:59,0,正面
～听风赏雪@(收藏过所有风景),用了感觉天天都在更新[看][看]主播加油,2026-05-12 10:47:40,1,正面
某,[赞][赞][赞]我也是坐上沙发了,2026-05-12 07:43:53,0,正面
无限♾️进步,我看到群里有人用你的这个了[捂脸],2026-05-12 13:27:33,0,中性
每天都是好心情,我觉得有点卡 我用了1天 而且电脑发烫,2026-05-12 17:26:58,0,中性
小柑Forward,感谢主包，一直在用很好用,2026-05-12 12:23:48,1,正面
于禁,怎么下载你的软件？,2026-05-12 13:30:43,0,中性
匿名,现在原来一些简单的可以交给ai，再加上前端等，1个人完全是个团队,2026-05-12 11:30:57,0,正面
春风拂面,"我是无从下手。
只会说：给我做个俄罗斯方块小游戏
类似简单一点的提问[捂脸][捂脸][捂脸]",2026-05-12 10:26:22,2,中性
三治一,老大可以出一期使用教程吗 怎么在不同对话里共享对话记忆 怎么撤回我输入后觉得错误的指令 怎么把记忆库及skill共享到所有对话 在任意对话时怎么调用记忆库和skill[玫瑰],2026-05-12 10:19:25,0,正面
BBxiàoHAHA,我想知道这个ppt 有没有skill 和相关agent [暗中观察][比心],2026-05-12 08:46:20,0,中性
吃瓜侃影,怎么申请caude 账号[捂脸],2026-05-12 15:15:26,0,中性
少晴,现在还不接受ai写代码的程序员肯定完了,2026-05-12 08:22:44,0,中性
十一学步,打开启动白屏,2026-05-12 14:08:09,0,中性
这条街最靓的仔,我用claude模型，感觉一下子就被封了，不知道是不是被发现了,2026-05-12 18:06:28,0,中性
是涵妤吖,理解图文功能应该咋破？,2026-05-13 13:54:20,0,中性
会面试的Eammon,没有bedrock的接入,2026-05-13 13:10:25,0,中性
听风与风同行,怎么接小米模型,2026-05-13 13:08:39,0,中性
没人看了吗？,哥，大概的思路都差不，能不能基于一个项目具体讲讲细节呢,2026-05-13 01:27:14,0,负面
嬉游汉服会,我还做代码审查，一定要求覆盖度,2026-05-12 23:30:14,0,中性
4do、,博主，当前视频讲解的界面炫酷，用的是什么软件？,2026-05-12 22:10:16,0,中性
XX🔥,给个地址呗我去 star 一下,2026-05-12 21:42:44,0,中性
Gear,的确，一个人写代码的时代[看]，想做的东西基本都能做到 gpt5.5 真的很强，我只装了一个 superpower 技能，项目基本都完成得不错,2026-05-13 06:46:43,0,正面
鸣北(focus),关注一波，用了你的哈哈了，可以的，很好用，必须支持你，最近用的小米mimo在跑，有tokenplan,2026-05-12 19:18:20,0,正面
一只烧鹅,[看]很屌，每天都用,2026-05-12 18:25:16,0,中性
抄个锤子 APP,哥哥，你的crawler，[流泪][流泪][流泪] 合作合作,2026-05-12 18:16:10,0,中性
宿命之炎,太屌了，haha爆火了，好几个程序员都讲haha👍🏻[捂脸],2026-05-12 16:47:42,2,正面
十一学步,打开白屏什么意思,2026-05-12 14:07:37,0,中性
可乐加冰0621,haha这个非常好用，但是有的时候总感觉他比终端的智商差点意思，比如做数据分析 搭看板，效果总差点，同样的提示词 同样的模型但是就不一样,2026-05-12 13:27:06,1,中性
黄博士,"我感觉用你的HAHA，出来的效果，哪怕用mini max做出来的,都比用TRAE高阶模型做出来的都要好。",2026-05-12 10:52:24,3,正面
𝙕𝙌,[赞][赞][赞],2026-05-12 09:37:45,1,正面
